类别一只有营业成本变化,,,,,,,,,,,,,,,,,,,
类别二有食品类成本，成本变动，销售量2018，2017,,,,,,,2018成本单价／2017成本单价,,,,,,,财务打分,,,,,
,,研究费用,研发投入占营业收入比例 ,,,SCORE-1,增长率,·average-score1,average-score2,,,,SCORE-2,SCORE-研发能力,SCORE-生产成本分析,SCORE-财务风险（zscore）,研发维度,生产成本维度,财务风险维度
600866,星湖科技,"36,467,029.86",4.24%,5.130%,0.120%,82.236%,0.617%,1.968%,0.026%,2.758%,-2.341%,58.017%,0.580,0.68,36.23, 4.00 ,67.70,36.23,80.00
600872,中炬高新,"121,868,260.76",2.90%,5.130%,0.120%,55.489%,-0.056%,1.968%,0.026%,2.758%,-2.341%,44.825%,0.403,0.46,18.21, 5.00 ,46.40,18.21,100.00
600873,梅花生物,"378,264,317.50",2.99%,5.130%,0.120%,57.285%,2.758%,1.968%,0.026%,2.758%,-2.341%,100.000%,1.000,0.83,67.41, 3.00 ,82.91,67.41,60.00
600882,广泽股份,"13,976,667.36",1.14%,5.130%,0.120%,20.359%,0.404%,1.968%,0.026%,2.758%,-2.341%,53.829%,0.538,0.40,81.86, 2.00 ,40.44,81.86,40.00
600887,伊利股份,"463,144,335.65",0.59%,5.130%,0.120%,9.381%,0.280%,1.968%,0.026%,2.758%,-2.341%,51.413%,0.463,0.32,60.76, 5.00 ,31.52,60.76,100.00
600929,湖南盐业,"91,296,321.18",4.21%,5.130%,0.120%,81.637%,1.3%,1.968%,0.026%,2.758%,-2.341%,72.046%,0.720,0.76,28.63, 3.00 ,75.88,28.63,60.00
603020,爱普股份,"29,629,313.94",1.19%,5.130%,0.120%,21.357%,0.145%,1.968%,0.026%,2.758%,-2.341%,48.767%,0.439,0.35,38.38, 5.00 ,34.88,38.38,100.00
603027,千禾味业,"20,360,287.94",1.91%,5.130%,0.120%,35.729%,-0.454%,1.968%,0.026%,2.758%,-2.341%,37.015%,0.333,0.34,44.83, 5.00 ,34.28,44.83,100.00
603043,广州酒家,"48,472,394.93",1.91%,5.130%,0.120%,35.729%,1.052%,1.968%,0.026%,2.758%,-2.341%,66.553%,0.666,0.54,52.16, 5.00 ,54.22,52.16,100.00
603079,圣达生物,"21,385,948.18",4.34%,5.130%,0.120%,84.232%,-0.159%,1.968%,0.026%,2.758%,-2.341%,42.803%,0.385,0.57,57.32, 3.00 ,56.81,57.32,60.00
603288,海天味业,"493,014,354.70",2.89%,5.130%,0.120%,55.289%,0.136%,1.968%,0.026%,2.758%,-2.341%,48.580%,0.437,0.48,40.11, 5.00 ,48.35,40.11,100.00
603696,安记食品,"10,605,433.06",3.13%,5.130%,0.120%,60.080%,-0.002167595,1.968%,0.026%,2.758%,-2.341%,41.664%,0.375,0.47,27.45, 5.00 ,46.53,27.45,100.00
603866,桃李面包,"5,650,645.03",0.12%,5.130%,0.120%,0.000%,-0.004%,1.968%,0.026%,2.758%,-2.341%,45.827%,0.412,0.25,46.67, 5.00 ,24.75,46.67,100.00
603886,元祖股份,"13,520,543.63",0.69%,5.130%,0.120%,11.377%,0.047%,1.968%,0.026%,2.758%,-2.341%,46.830%,0.421,0.30,95.76, 4.00 ,29.84,95.76,80.00
